party;f_name;l_name;name;handle;gndr_fem;memb_since;memb_to
alt;Uffe;Elbæk;Uffe Elbæk;uffeelbaek;0;;
alt;Torsten;Gejl;Torsten Gejl;TorstenGejl;0;;
dd;Karina;Adsbøl;Karina Adsbøl;AdsbolAdsbl;1;;
dd;Lise;Bech;Lise Bech;LiseBech;1;;
dd;Bent;Bøgsted;Bent Bøgsted;BentGsted;0;;
dd;Jens Henrik;Thulesen Dahl;Jens Henrik Thulesen Dahl;JThulesen;0;;
dd;Søren;Espersen;Søren Espersen;EspersenSoren;0;;
dd;Dennis;Flydtkjær;Dennis Flydtkjær;flydtkjaer;0;;
dd;Hans Kristian;Skibby;Hans Kristian Skibby;Hans_Kr_Skibby;0;;
dd;Peter;Skaarup;Peter Skaarup;skaarup_peter;0;;
df;Alex;Ahrendtsen;Alex Ahrendtsen;;0;;
df;René;Christensen;René Christensen;ReneChr67108814;0;;
df;Mette;Hjermind;Mette Hjermind;;1;;
df;Susanne;Eilersen;Susanne Eilersen;Eilersen_DF;1;01-08-2022;
df;Pia;Kjærsgaard;Pia Kjærsgaard;Pia_Kjaersgaard;1;;
df;Morten;Messerschmidt;Morten Messerschmidt;MrMesserschmidt;0;;
kons;Mette;Abildgaard;Mette Abildgaard;metteabildgaard;1;;
kons;Katarina;Ammitzbøll;Katarina Ammitzbøll;Ammitzboell_K;1;;
kons;Britt;Bager;Britt Bager;brittbager;1;;
kons;Birgitte;Bergman;Birgitte Bergman;BirgitteBergman;1;;
kons;Niels Flemming;Hansen;Niels Flemming Hansen;NielsFlemming01;0;;
kons;Rasmus;Jarlov;Rasmus Jarlov;RasmusJarlov;0;;
kons;Mona;Juul;Mona Juul;JuulMona;1;;
kons;Brigitte;Klintskov Jerkel;Brigitte Klintskov Jerkel;JerkelK;1;;
kons;Marcus;Knuth;Marcus Knuth;MarcusKnuth1;0;;
kons;Per;Larsen;Per Larsen;PerLarsenC;0;;
kons;Mai;Mercado;Mai Mercado;_MaiMercado;1;;
kons;Søren Pape;Poulsen;Søren Pape Poulsen;SorenPape;0;;
kons;Gitte;Willumsen;Gitte Willumsen;GitteWillumsen1;1;21-12-2021;
el;Eva;Flyvholm;Eva Flyvholm;EvaFlyvholm;1;;
el;Jette;Gottlieb;Jette Gottlieb;;1;;
el;Peder;Hvelplund;Peder Hvelplund;pederhvelplund;0;;
el;Henning;Hyllested;Henning Hyllested;hyllefar;0;;
el;Christian;Juhl;Christian Juhl;ChristianJuhl2;0;;
el;Rosa;Lund;Rosa Lund;RosaLundEl;1;;
el;Søren Egge;Rasmussen;Søren Egge Rasmussen;SorenEggeRasmus;0;;
el;Jonathan;Simmel;Jonathan Simmel;JonathanSimmel;0;12-08-2022;
el;Pernille;Skipper;Pernille Skipper;PSkipperEL;1;;
el;Jakob;Sølvhøj;Jakob Sølvhøj;JakobSoelvhoej;0;;
el;Søren;Søndergaard;Søren Søndergaard;SrenSndergaard3;0;;
el;Victoria;Velasquez;Victoria Velasquez;VictoriaV_EL;1;;
el;Mai;Villadsen;Mai Villadsen;MaiVilladsen;1;;
fg;Sikandar;Siddique;Sikandar Siddique;SikandaSIDDIQUE;0;;
fg;Susanne;Zimmer;Susanne Zimmer;Susanne_Zimmer_;1;;
la;Henrik;Dahl;Henrik Dahl;SociologenHD;0;;
la;Ole Birke;Olesen;Ole Birke Olesen;olebirkolesen;0;;
la;Alex;Vanopslagh;Alex Vanopslagh;AlexVanopslagh;0;;
mod;Lars Løkke;Rasmussen;Lars Løkke Rasmussen;larsloekke;0;;
nb;Lars Boje;Mathiesen;Lars Boje Mathiesen;LBMathiesen;0;;
nb;Peter Seier;Christensen;Peter Seier Christensen;peter_seier;0;;
nb;Mette;Thiesen;Mette Thiesen;ThiesenMette;1;;
nb;Pernille;Vermund;Pernille Vermund;PernilleVermund;1;;
rv;Anne Sophie;Callesen;Anne Sophie Callesen;FrkCallesen;1;;
rv;Katrine;Robsøe;Katrine Robsøe;KatrineRobsoe;1;;
rv;Susan;Kronborg;Susan Kronborg;kronborgsusan;1;17-06-2021;
rv;Andreas;Steenberg;Andreas Steenberg;a_steenberg;0;;
rv;Martin;Lidegaard;Martin Lidegaard;martinlidegaard;0;;
rv;Sofie Carsten;Nielsen;Sofie Carsten Nielsen;sofiecn;1;;
rv;Samira;Nawa;Samira Nawa;SamiraNawa;1;;
rv;Rasmus Helveg;Petersen;Rasmus Helveg Petersen;rasmushelveg;0;;
rv;Zenia;Stampe;Zenia Stampe;zeniastampe;1;;
rv;Stinus;Lindgreen;Stinus Lindgreen;stinuslindgreen;0;;
rv;Marianne;Jelved;Marianne Jelved;mariannejelved;1;;
rv;Kathrine;Olldag;Kathrine Olldag;KathrineOlldag;1;;
rv;Lotte;Rod;Lotte Rod;LotteRod;1;;
rv;Christina;Thorholm;Christina Thorholm;rvthorholm;1;31-08-2021;
s;Ida;Auken;Ida Auken;IdaAuken;1;;
s;Trine;Bramsen;Trine Bramsen;Trinebramsen;1;;
s;Bjørn;Brandenborg;Bjørn Brandenborg;BjBrandenborg;0;;
s;Jeppe;Bruus;Jeppe Bruus;JeppeBruus;0;;
s;Morten;Bødskov;Morten Bødskov;mfMorten;0;;
s;Lennart;Damsbo-Andersen;Lennart Damsbo-Andersen;;0;;
s;Kaare;Dybvad Bek;Kaare Dybvad Bek;KaareDybvad;0;;
s;Benny;Engelbrecht;Benny Engelbrecht;BennyEngelbrech;0;;
s;Camilla;Fabricius;Camilla Fabricius;CamFabricius;1;;
s;Mette;Frederiksen;Mette Frederiksen;;1;;
s;Mette;Gjerskov;Mette Gjerskov;MetteGjerskov;1;;
s;Maria;Gudme;Maria Gudme;mariagudme;1;10-05-2022;
s;Ane;Halsboe-Jørgensen;Ane Halsboe-Jørgensen;AneHalsboe;1;;
s;Orla;Hav;Orla Hav;HavOrla;0;;
s;Magnus;Heunicke;Magnus Heunicke;Heunicke;0;;
s;Peter;Hummelgaard;Peter Hummelgaard;PHummelgaard;0;;
s;Daniel Toft;Jakobsen;Daniel Toft Jakobsen;;0;;
s;Leif Lahn;Jensen;Leif Lahn Jensen;LahnLeif;0;;
s;Thomas;Jensen;Thomas Jensen;;0;;
s;Mogens;Jensen;Mogens Jensen;MogensJensenS;0;;
s;Jens;Joel;Jens Joel;Jens_Joel;0;;
s;Jan;Johansen;Jan Johansen;janjohansen16;0;;
s;Dan;Jørgensen;Dan Jørgensen;DanJoergensen;0;;
s;Kasper Sand;Kjær;Kasper Sand Kjær;SandKjaer;0;;
s;Simon;Kollerup;Simon Kollerup;simonkollerup;0;;
s;Astrid;Krag;Astrid Krag;Astridkrag;1;;
s;Henrik Dam;Kristensen;Henrik Dam Kristensen;;0;;
s;Anders;Kronborg;Anders Kronborg;AndersKronborg;0;;
s;Rasmus Horn;Langhoff;Rasmus Horn Langhoff;rasmushorn;0;;
s;Malte;Larsen;Malte Larsen;MalteLarsen;0;;
s;Tanja;Larsson;Tanja Larsson;LarssonTanja;1;01-10-2019;
s;Bjarne;Laustsen;Bjarne Laustsen;Bjarne_Laustsen;0;;
s;Annette;Lind;Annette Lind;annette_lind;1;;
s;Christian Rabjerg;Madsen;Christian Rabjerg Madsen;RabjergMadsen;0;;
s;Flemming Møller;Mortensen;Flemming Møller Mortensen;;0;;
s;Henrik;Møller;Henrik Møller;Henrikm86712011;0;;
s;Anne;Paulin;Anne Paulin;Paulin_Anne;1;;
s;Jesper;Petersen;Jesper Petersen;Jesper_pet;0;;
s;Rasmus;Prehn;Rasmus Prehn;RasmusPrehn;0;;
s;Lars Aslan;Rasmussen;Lars Aslan Rasmussen;lars_aslan;0;;
s;Troels;Ravn;Troels Ravn;RavnTroels;0;;
s;Pernille;Rosenkrantz-Theil;Pernille Rosenkrantz-Theil;RosenkrantzT;1;;
s;Kasper;Roug;Kasper Roug;KasperRoug;0;;
s;Julie;Skovsby;Julie Skovsby;JulieSkovsby;1;;
s;Rasmus;Stoklund;Rasmus Stoklund;RStoklund;0;;
s;Mattias;Tesfaye;Mattias Tesfaye;mattiastesfaye;0;;
s;Birgitte;Vind;Birgitte Vind;birgitte_vind;1;;
s;Nicolai;Wammen;Nicolai Wammen;NWammen;0;;
s;Lea;Wermelin;Lea Wermelin;LeaWermelin;1;;
sf;Kirsten Normann;Andersen;Kirsten Normann Andersen;KirstenNormann;1;;
sf;Lisbeth;Bech-Nielsen;Lisbeth Bech-Nielsen;LisbethBNielsen;1;;
sf;Anne Valentina;Berthelsen;Anne Valentina Berthelsen;AnneValentina;1;;
sf;Astrid;Carøe;Astrid Carøe;AstridCaroee;1;;
sf;Karina Lorentzen;Dehnhardt;Karina Lorentzen Dehnhardt;MF_K_Lorentzen;1;;
sf;Pia Olsen;Dyhr;Pia Olsen Dyhr;PiaOlsen;1;;
sf;Karsten;Hønge;Karsten Hønge;khoenge;0;;
sf;Jacob;Mark;Jacob Mark;jacobmark_sf;0;;
sf;Signe;Munk;Signe Munk;signe_munk;1;;
sf;Charlotte Broman;Mølbæk;Charlotte Broman Mølbæk;charlottebroman;1;;
sf;Rasmus;Nordqvist;Rasmus Nordqvist;rasmusnordqvist;0;;
sf;Halime;Oguz;Halime Oguz;Halime9Oguz;1;;
sf;Ina;Strøjer-Schmidt;Ina Strøjer-Schmidt;;1;;
sf;Trine;Torp;Trine Torp;TrineTorp;1;;
sf;Carl;Valentin;Carl Valentin;Carl__Valentin;0;;
ug;Simon Emil;Ammitzbøll-Bille;Simon Emil Ammitzbøll-Bille;ammitzbollbille;0;;
ug;Liselott;Blixt;Liselott Blixt;Blixt22;1;;
ug;Naser;Khader;Naser Khader;;0;;
ug;Marie;Krarup;Marie Krarup;MarieKrarup;1;;
ug;Jens;Rohde;Jens Rohde;rohde_jens;0;;
ug;Orla;Østerby;Orla Østerby;orlaosterby;0;;
v;Marlene;Ambo-Rasmussen;Marlene Ambo-Rasmussen;MarleneAmbo;1;;
v;Hans;Andersen;Hans Andersen;HansAndersenV;0;;
v;Heidi;Bank;Heidi Bank;bankHeidi;1;;
v;Marie;Bjerre;Marie Bjerre;marie_bjerre;1;;
v;Erling;Bonnesen;Erling Bonnesen;ErlingBonnesen;0;;
v;Morten;Dahlin;Morten Dahlin;MortenDahlin;0;;
v;Thomas;Danielsen;Thomas Danielsen;ThDanielsen;0;;
v;Louise Schack;Elholm;Louise Schack Elholm;LouiseElholm;1;;
v;Karen;Ellemann;Karen Ellemann;EllemannKaren;1;;
v;Jakob;Ellemann-Jensen;Jakob Ellemann-Jensen;JakobEllemann;0;;
v;Claus Hjort;Frederiksen;Claus Hjort Frederiksen;;0;;
v;Mads;Fuglede;Mads Fuglede;madsfuglede;0;;
v;Martin;Geertsen;Martin Geertsen;Martin_Geertsen;0;;
v;Eva Kjer;Hansen;Eva Kjer Hansen;EvaKjerHansen;1;;
v;Jane;Heitmann;Jane Heitmann;JaneHeitmann;1;;
v;Preben Bang;Henriksen;Preben Bang Henriksen;;0;;
v;Bertel;Haarder;Bertel Haarder;BHaarder;0;;
v;Michael Aastrup;Jensen;Michael Aastrup Jensen;michaelaastrup;0;;
v;Jacob;Jensen;Jacob Jensen;jacobjensenMF;0;;
v;Peter;Juel-Jensen;Peter Juel-Jensen;PeterJuelJensen;0;;
v;Jan E.;Jørgensen;Jan E. Jørgensen;JanEJoergensen;0;;
v;Carsten;Kissmeyer;Carsten Kissmeyer;CKissmeyer;0;;
v;Stén;Knuth;Stén Knuth;Sten_Knuth;0;;
v;Lars Christian;Lilleholt;Lars Christian Lilleholt;;0;;
v;Kristian Pihl;Lorentzen;Kristian Pihl Lorentzen;kplorentzen;0;;
v;Sophie;Løhde;Sophie Løhde;sophieloehde;1;;
v;Anni;Matthiesen;Anni Matthiesen;AnniMatthiesen;1;;
v;Christoffer Aagaard;Melson;Christoffer Aagaard Melson;ChristofferMels;0;;
v;Kenneth;Mikkelsen;Kenneth Mikkelsen;KD_Mikkelsen;0;01-04-2021;
v;Ellen Trane;Nørby;Ellen Trane Nørby;EllenTraneNorby;1;;
v;Torsten Schack;Pedersen;Torsten Schack Pedersen;TorstenSchack;0;;
v;Troels Lund;Poulsen;Troels Lund Poulsen;troelslundp;0;;
v;Anne;Rasmussen;Anne Rasmussen;;1;12-08-2021;
v;Hans Christian;Schmidt;Hans Christian Schmidt;HaChrSchmidt;0;;
v;Maja;Torp;Maja Torp;MajaTorpAalborg;1;01-02-2022;
v;Ulla;Tørnæs;Ulla Tørnæs;Ulla_Tornaes;1;;
v;Kim;Valentin;Kim Valentin;kimvalentinDK;0;;
v;Fatma;Øktem;Fatma Øktem;fatmaoektem;1;;
v;Anne Honoré;Østergaard;Anne Honoré Østergaard;AnneStergaa;1;;
el;Rune;Lund;Rune Lund;RuneLundEL;0;;12-08-2022
ug;Kristian;Thulesen Dahl;Kristian Thulesen Dahl;Kristianthdahl;0;;01-08-2022
s;Nick;Hækkerup;Nick Hækkerup;;0;;10-05-2022
v;Karsten;Lauritzen;Karsten Lauritzen;LauritzenK;0;;01-02-2022
ug;Inger;Støjberg;Inger Støjberg;;1;;21-12-2021
rv;Kristian;Hegaard;Kristian Hegaard;KHegaard;0;;31-08-2021
v;Tommy;Ahlers;Tommy Ahlers;aahlers;0;;12-08-2021
rv;Morten;Østergaard;Morten Østergaard;oestergaard;0;;17-05-2021
v;Kristian;Jensen;Kristian Jensen;Kristian_Jensen;0;;01-04-2021
s;Henrik Sass;Larsen;Henrik Sass Larsen;SassLarsen;0;;01-10-2019
